second,distance,motion,lightIntensity,occupied
30,-1515870848.00,0,-0.00,0
32,282.00,0,4.17,1
33,282.00,0,4.17,1
34,338.00,0,4.17,1
35,282.00,0,4.17,1
36,282.00,0,4.17,1
37,336.00,0,4.17,1
38,283.00,0,4.17,1
39,281.00,0,4.17,1
40,280.00,0,4.17,1
41,283.00,1,4.17,1
42,283.00,0,4.17,1
43,281.00,0,4.17,1
44,282.00,0,4.17,1
45,283.00,0,4.17,1
46,283.00,0,4.17,1
47,282.00,0,4.17,1
48,284.00,0,4.17,1
49,282.00,0,4.17,1
50,282.00,0,4.17,1
51,281.00,0,3.33,1
52,283.00,0,3.33,1
53,283.00,0,3.33,1
54,282.00,0,3.33,1
55,282.00,0,4.17,1
56,284.00,0,4.17,1
57,285.00,0,4.17,1
58,282.00,0,4.17,1
59,281.00,0,4.17,1
60,281.00,1,4.17,1
62,282.00,0,4.17,1
63,282.00,0,4.17,1
64,286.00,0,4.17,1
65,338.00,0,4.17,1
66,282.00,0,4.17,1
67,2355.00,0,4.17,1
68,282.00,0,4.17,1
69,279.00,0,4.17,1
70,282.00,0,4.17,1
71,283.00,0,4.17,1
72,279.00,0,4.17,1
73,282.00,0,4.17,1
74,281.00,0,4.17,1
75,338.00,0,4.17,1
76,336.00,0,4.17,1
77,337.00,0,4.17,1
78,191.00,0,4.17,1
79,281.00,0,4.17,1
80,282.00,0,4.17,1
81,283.00,0,4.17,1
82,283.00,0,4.17,1
83,281.00,0,4.17,1
84,281.00,0,4.17,1
85,282.00,0,4.17,1
86,338.00,0,4.17,1
87,336.00,0,4.17,1
88,281.00,0,4.17,1
89,282.00,0,3.33,1
91,282.00,0,3.33,1
92,281.00,0,4.17,1
93,282.00,0,4.17,1
94,285.00,0,4.17,1
95,281.00,0,4.17,1
96,130.00,0,4.17,1
97,189.00,0,3.33,1
98,283.00,0,3.33,1
99,283.00,0,3.33,1
100,283.00,0,4.17,1
101,282.00,0,4.17,1
102,285.00,0,3.33,1
103,282.00,0,3.33,1
104,282.00,0,3.33,1
105,282.00,0,4.17,1
106,283.00,0,4.17,1
107,282.00,0,4.17,1
108,282.00,0,4.17,1
109,283.00,0,4.17,1
110,339.00,0,4.17,1
111,281.00,0,4.17,1
112,283.00,0,4.17,1
113,282.00,0,4.17,1
114,282.00,0,4.17,1
115,282.00,0,4.17,1
116,337.00,0,4.17,1
117,337.00,0,4.17,1
118,336.00,0,4.17,1
119,282.00,0,4.17,1
121,338.00,0,4.17,1
122,284.00,0,4.17,1
123,282.00,0,4.17,1
124,282.00,0,4.17,1
125,338.00,0,4.17,1
126,280.00,0,4.17,1
127,336.00,0,4.17,1
128,282.00,0,4.17,1
129,280.00,0,4.17,1
130,337.00,0,4.17,1
131,282.00,0,4.17,1
132,282.00,0,4.17,1
133,284.00,0,4.17,1
134,283.00,0,4.17,1
135,281.00,0,4.17,1
136,281.00,0,4.17,1
137,338.00,0,4.17,1
138,284.00,0,4.17,1
139,280.00,0,4.17,1
140,335.00,0,4.17,1
141,337.00,0,4.17,1
142,283.00,0,4.17,1
143,283.00,0,4.17,1
144,338.00,0,4.17,1
145,282.00,0,4.17,1
146,338.00,0,4.17,1
147,337.00,0,4.17,1
148,337.00,0,4.17,1
150,283.00,0,4.17,1
