31 -> distance: -1515870848.00, motion: 0, lightIntensity: -0.00, occupied: 0
32 -> distance: 142.00, motion: 0, lightIntensity: 18.33, occupied: 1
33 -> distance: 187.00, motion: 0, lightIntensity: 18.33, occupied: 1
34 -> distance: 120.00, motion: 0, lightIntensity: 18.33, occupied: 1
35 -> distance: 128.00, motion: 0, lightIntensity: 18.33, occupied: 1
36 -> distance: 129.00, motion: 0, lightIntensity: 18.33, occupied: 1
37 -> distance: 137.00, motion: 0, lightIntensity: 18.33, occupied: 1
38 -> distance: 125.00, motion: 0, lightIntensity: 18.33, occupied: 1
39 -> distance: 193.00, motion: 0, lightIntensity: 19.17, occupied: 1
40 -> distance: 166.00, motion: 0, lightIntensity: 18.33, occupied: 1
41 -> distance: 116.00, motion: 0, lightIntensity: 18.33, occupied: 1
42 -> distance: 126.00, motion: 0, lightIntensity: 18.33, occupied: 1
44 -> distance: 112.00, motion: 0, lightIntensity: 18.33, occupied: 1
45 -> distance: 105.00, motion: 0, lightIntensity: 18.33, occupied: 1
46 -> distance: 175.00, motion: 0, lightIntensity: 18.33, occupied: 1
47 -> distance: 154.00, motion: 1, lightIntensity: 18.33, occupied: 1
48 -> distance: 151.00, motion: 0, lightIntensity: 18.33, occupied: 1
49 -> distance: 120.00, motion: 0, lightIntensity: 18.33, occupied: 1
50 -> distance: 201.00, motion: 0, lightIntensity: 18.33, occupied: 1
51 -> distance: 199.00, motion: 0, lightIntensity: 18.33, occupied: 1
52 -> distance: 118.00, motion: 0, lightIntensity: 18.33, occupied: 1
53 -> distance: 209.00, motion: 0, lightIntensity: 18.33, occupied: 1
54 -> distance: 195.00, motion: 0, lightIntensity: 18.33, occupied: 1
55 -> distance: 110.00, motion: 0, lightIntensity: 18.33, occupied: 1
56 -> distance: 196.00, motion: 0, lightIntensity: 18.33, occupied: 1
57 -> distance: 131.00, motion: 0, lightIntensity: 18.33, occupied: 1
58 -> distance: 143.00, motion: 0, lightIntensity: 18.33, occupied: 1
59 -> distance: 113.00, motion: 0, lightIntensity: 18.33, occupied: 1
60 -> distance: 164.00, motion: 0, lightIntensity: 18.33, occupied: 1
61 -> distance: 133.00, motion: 0, lightIntensity: 18.33, occupied: 1
62 -> distance: 151.00, motion: 0, lightIntensity: 18.33, occupied: 1
63 -> distance: 147.00, motion: 0, lightIntensity: 18.33, occupied: 1
64 -> distance: 161.00, motion: 0, lightIntensity: 18.33, occupied: 1
65 -> distance: 115.00, motion: 0, lightIntensity: 18.33, occupied: 1
66 -> distance: 132.00, motion: 0, lightIntensity: 18.33, occupied: 1
67 -> distance: 120.00, motion: 1, lightIntensity: 18.33, occupied: 1
68 -> distance: 121.00, motion: 0, lightIntensity: 19.17, occupied: 1
69 -> distance: 131.00, motion: 0, lightIntensity: 19.17, occupied: 1
70 -> distance: 121.00, motion: 0, lightIntensity: 19.17, occupied: 1
71 -> distance: 116.00, motion: 0, lightIntensity: 18.33, occupied: 1
72 -> distance: 117.00, motion: 0, lightIntensity: 18.33, occupied: 1
74 -> distance: 138.00, motion: 0, lightIntensity: 18.33, occupied: 1
75 -> distance: 191.00, motion: 0, lightIntensity: 18.33, occupied: 1
76 -> distance: 148.00, motion: 0, lightIntensity: 18.33, occupied: 1
77 -> distance: 135.00, motion: 0, lightIntensity: 18.33, occupied: 1
78 -> distance: 109.00, motion: 0, lightIntensity: 18.33, occupied: 1
79 -> distance: 146.00, motion: 0, lightIntensity: 18.33, occupied: 1
80 -> distance: 164.00, motion: 0, lightIntensity: 18.33, occupied: 1
81 -> distance: 204.00, motion: 0, lightIntensity: 18.33, occupied: 1
82 -> distance: 117.00, motion: 0, lightIntensity: 18.33, occupied: 1
83 -> distance: 147.00, motion: 0, lightIntensity: 18.33, occupied: 1
84 -> distance: 136.00, motion: 0, lightIntensity: 18.33, occupied: 1
85 -> distance: 128.00, motion: 0, lightIntensity: 18.33, occupied: 1
86 -> distance: 132.00, motion: 0, lightIntensity: 18.33, occupied: 1
87 -> distance: 171.00, motion: 0, lightIntensity: 18.33, occupied: 1
88 -> distance: 109.00, motion: 0, lightIntensity: 18.33, occupied: 1
89 -> distance: 212.00, motion: 0, lightIntensity: 18.33, occupied: 1
90 -> distance: 139.00, motion: 0, lightIntensity: 18.33, occupied: 1
91 -> distance: 121.00, motion: 0, lightIntensity: 18.33, occupied: 1
92 -> distance: 138.00, motion: 0, lightIntensity: 18.33, occupied: 1
93 -> distance: 112.00, motion: 0, lightIntensity: 18.33, occupied: 1
94 -> distance: 191.00, motion: 0, lightIntensity: 18.33, occupied: 1
95 -> distance: 182.00, motion: 0, lightIntensity: 18.33, occupied: 1
96 -> distance: 104.00, motion: 0, lightIntensity: 18.33, occupied: 1
97 -> distance: 140.00, motion: 0, lightIntensity: 18.33, occupied: 1
98 -> distance: 122.00, motion: 0, lightIntensity: 18.33, occupied: 1
99 -> distance: 146.00, motion: 0, lightIntensity: 18.33, occupied: 1
100 -> distance: 117.00, motion: 0, lightIntensity: 18.33, occupied: 1
101 -> distance: 126.00, motion: 0, lightIntensity: 18.33, occupied: 1
103 -> distance: 125.00, motion: 0, lightIntensity: 18.33, occupied: 1
104 -> distance: 132.00, motion: 0, lightIntensity: 18.33, occupied: 1
105 -> distance: 152.00, motion: 1, lightIntensity: 18.33, occupied: 1
106 -> distance: 108.00, motion: 1, lightIntensity: 18.33, occupied: 1
107 -> distance: 116.00, motion: 0, lightIntensity: 18.33, occupied: 1
108 -> distance: 160.00, motion: 0, lightIntensity: 18.33, occupied: 1
109 -> distance: 138.00, motion: 0, lightIntensity: 18.33, occupied: 1
110 -> distance: 110.00, motion: 0, lightIntensity: 18.33, occupied: 1
111 -> distance: 200.00, motion: 0, lightIntensity: 18.33, occupied: 1
112 -> distance: 202.00, motion: 0, lightIntensity: 18.33, occupied: 1
113 -> distance: 143.00, motion: 0, lightIntensity: 18.33, occupied: 1
114 -> distance: 290.00, motion: 1, lightIntensity: 18.33, occupied: 1
115 -> distance: 129.00, motion: 1, lightIntensity: 18.33, occupied: 1
116 -> distance: 183.00, motion: 0, lightIntensity: 18.33, occupied: 1
117 -> distance: 128.00, motion: 0, lightIntensity: 18.33, occupied: 1
118 -> distance: 117.00, motion: 0, lightIntensity: 18.33, occupied: 1
119 -> distance: 292.00, motion: 0, lightIntensity: 18.33, occupied: 1
120 -> distance: 170.00, motion: 0, lightIntensity: 18.33, occupied: 1
121 -> distance: 115.00, motion: 0, lightIntensity: 18.33, occupied: 1
122 -> distance: 121.00, motion: 0, lightIntensity: 18.33, occupied: 1
123 -> distance: 149.00, motion: 0, lightIntensity: 18.33, occupied: 1
124 -> distance: 167.00, motion: 0, lightIntensity: 18.33, occupied: 1
125 -> distance: 132.00, motion: 0, lightIntensity: 18.33, occupied: 1
126 -> distance: 189.00, motion: 0, lightIntensity: 18.33, occupied: 1
127 -> distance: 119.00, motion: 0, lightIntensity: 18.33, occupied: 1
128 -> distance: 126.00, motion: 0, lightIntensity: 18.33, occupied: 1
129 -> distance: 129.00, motion: 0, lightIntensity: 18.33, occupied: 1
130 -> distance: 154.00, motion: 0, lightIntensity: 18.33, occupied: 1
131 -> distance: 150.00, motion: 0, lightIntensity: 18.33, occupied: 1
132 -> distance: 167.00, motion: 0, lightIntensity: 18.33, occupied: 1
134 -> distance: 153.00, motion: 0, lightIntensity: 18.33, occupied: 1
135 -> distance: 163.00, motion: 0, lightIntensity: 18.33, occupied: 1
136 -> distance: 125.00, motion: 0, lightIntensity: 18.33, occupied: 1
