second,distance,motion,lightIntensity,occupied,occupied_ml
187,2380.0,0,2.5,1,0
188,2378.0,0,2.5,1,0
189,2373.0,0,2.5,1,0
190,2364.0,0,2.5,1,0
191,2375.0,0,2.5,1,0
192,2372.0,0,2.5,1,0
193,2381.0,0,2.5,1,0
194,2381.0,0,2.5,1,0
195,2369.0,0,2.5,1,0
196,2381.0,0,2.5,1,0
197,2370.0,0,2.5,1,0
198,2365.0,0,2.5,1,0
199,2367.0,0,2.5,1,0
200,2381.0,0,2.5,1,0
201,2380.0,0,2.5,1,0
202,2374.0,0,2.5,1,0
203,2374.0,0,2.5,1,0
204,2380.0,0,2.5,1,0
205,2375.0,0,2.5,1,0
206,2378.0,0,2.5,1,0
207,2363.0,0,2.5,1,0
208,2369.0,0,2.5,1,0
209,2372.0,0,2.5,1,0
210,2380.0,0,2.5,1,0
211,2379.0,0,2.5,1,0
212,2377.0,0,2.5,1,0
213,2378.0,0,2.5,1,0
214,2376.0,0,2.5,1,0
215,2371.0,0,2.5,1,0
216,2377.0,0,2.5,1,0
217,2377.0,0,2.5,1,0
218,2379.0,0,2.5,1,0
219,2381.0,0,2.5,1,0
220,2379.0,0,2.5,1,0
221,2382.0,0,2.5,1,0
222,2382.0,0,2.5,1,0
223,2379.0,0,2.5,1,0
224,2374.0,0,2.5,1,0
225,2367.0,0,2.5,1,0
226,2367.0,0,2.5,1,0
227,2374.0,0,2.5,1,0
228,2380.0,0,2.5,1,0
229,2377.0,0,2.5,1,0
230,2380.0,0,2.5,1,0
231,2380.0,0,2.5,1,0
232,2379.0,0,2.5,1,0
233,2369.0,0,2.5,1,0
234,2382.0,0,2.5,1,0
235,2381.0,0,2.5,1,0
236,2381.0,0,2.5,1,0
237,2379.0,0,2.5,1,0
238,2378.0,1,2.5,1,0
239,2378.0,0,2.5,1,0
240,2377.0,0,2.5,1,0
241,2372.0,0,2.5,1,0
242,2378.0,0,2.5,1,0
243,2380.0,0,2.5,1,0
244,2379.0,0,2.5,1,0
245,2376.0,0,2.5,1,0
246,2378.0,0,2.5,1,0
247,2371.0,0,2.5,1,0
248,2368.0,0,2.5,1,0
249,2376.0,0,2.5,1,0
250,2381.0,0,2.5,1,0
251,2375.0,0,2.5,1,0
252,2378.0,0,2.5,1,0
253,2379.0,0,2.5,1,0
254,2373.0,0,2.5,1,0
255,2380.0,0,2.5,1,0
256,2380.0,0,2.5,1,0
257,2381.0,0,2.5,1,0
258,2381.0,0,2.5,1,0
259,2376.0,0,2.5,1,0
260,2380.0,0,2.5,1,0
261,2375.0,0,2.5,1,0
262,2377.0,0,2.5,1,0
263,2381.0,0,2.5,1,0
264,2372.0,0,2.5,1,0
