31 -> distance: -1515870848.00, motion: 0, lightIntensity: -0.00, occupied: 0
32 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
33 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
34 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
35 -> distance: 2378.00, motion: 0, lightIntensity: 8.33, occupied: 1
36 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
37 -> distance: 2376.00, motion: 0, lightIntensity: 8.33, occupied: 1
38 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
39 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
40 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
41 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
43 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
44 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
45 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
46 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
47 -> distance: 2373.00, motion: 1, lightIntensity: 8.33, occupied: 1
48 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
49 -> distance: 2373.00, motion: 0, lightIntensity: 8.33, occupied: 1
50 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
51 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
52 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
53 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
54 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
55 -> distance: 2378.00, motion: 0, lightIntensity: 8.33, occupied: 1
56 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
57 -> distance: 2378.00, motion: 0, lightIntensity: 8.33, occupied: 1
58 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
59 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
60 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
61 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
62 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
63 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
64 -> distance: 344.00, motion: 0, lightIntensity: 8.33, occupied: 1
65 -> distance: 2378.00, motion: 0, lightIntensity: 8.33, occupied: 1
66 -> distance: 2378.00, motion: 0, lightIntensity: 8.33, occupied: 1
67 -> distance: 347.00, motion: 1, lightIntensity: 8.33, occupied: 1
68 -> distance: 2381.00, motion: 0, lightIntensity: 8.33, occupied: 1
69 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
70 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
71 -> distance: 2386.00, motion: 0, lightIntensity: 8.33, occupied: 1
73 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
74 -> distance: 2385.00, motion: 0, lightIntensity: 8.33, occupied: 1
75 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
76 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
77 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
78 -> distance: 2386.00, motion: 0, lightIntensity: 8.33, occupied: 1
79 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
80 -> distance: 2386.00, motion: 0, lightIntensity: 8.33, occupied: 1
81 -> distance: 2387.00, motion: 0, lightIntensity: 8.33, occupied: 1
82 -> distance: 2387.00, motion: 0, lightIntensity: 8.33, occupied: 1
83 -> distance: 2387.00, motion: 1, lightIntensity: 8.33, occupied: 1
84 -> distance: 2387.00, motion: 0, lightIntensity: 8.33, occupied: 1
85 -> distance: 346.00, motion: 0, lightIntensity: 8.33, occupied: 1
86 -> distance: 2386.00, motion: 0, lightIntensity: 8.33, occupied: 1
87 -> distance: 2385.00, motion: 0, lightIntensity: 8.33, occupied: 1
88 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
89 -> distance: 348.00, motion: 1, lightIntensity: 8.33, occupied: 1
90 -> distance: 347.00, motion: 0, lightIntensity: 8.33, occupied: 1
91 -> distance: 345.00, motion: 0, lightIntensity: 8.33, occupied: 1
