119 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
121 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
122 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
123 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
124 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
125 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
126 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
127 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
128 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
129 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
130 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
131 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
132 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
133 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
134 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
135 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
136 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
137 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
138 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
139 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
140 -> distance: 335.00, motion: 0, lightIntensity: 4.17, occupied: 1
141 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
142 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
143 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
144 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
145 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
146 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
147 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
148 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
150 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
151 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
152 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
153 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
154 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
155 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
156 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
157 -> distance: 189.00, motion: 0, lightIntensity: 4.17, occupied: 1
158 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
159 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
160 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
161 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
162 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
163 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
164 -> distance: 339.00, motion: 0, lightIntensity: 4.17, occupied: 1
165 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
166 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
167 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
168 -> distance: 129.00, motion: 0, lightIntensity: 4.17, occupied: 1
169 -> distance: 126.00, motion: 0, lightIntensity: 4.17, occupied: 1
170 -> distance: 124.00, motion: 0, lightIntensity: 4.17, occupied: 1
171 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
172 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
173 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
174 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
175 -> distance: 138.00, motion: 0, lightIntensity: 4.17, occupied: 1
176 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
177 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
178 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
180 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
181 -> distance: 134.00, motion: 0, lightIntensity: 4.17, occupied: 1
182 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
183 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
184 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
185 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
186 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
187 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
188 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
189 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
190 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
191 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
192 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
193 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
194 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
195 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
196 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
197 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
198 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
199 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
200 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
201 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
202 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
203 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
204 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
205 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
206 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
207 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
208 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
210 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
