second,distance,motion,lightIntensity,occupied,occupied_note
193,2360.0,0,8.33,1,1
194,2360.0,0,8.33,1,1
195,2360.0,0,8.33,1,1
196,2360.0,0,8.33,1,1
197,2360.0,0,8.33,1,1
198,2360.0,0,8.33,1,1
199,2360.0,0,8.33,1,1
200,2360.0,0,8.33,1,1
201,2360.0,0,8.33,1,1
202,2360.0,0,8.33,1,1
203,2360.0,0,8.33,1,1
204,2360.0,0,8.33,1,1
205,2360.0,0,8.33,1,1
206,2360.0,0,8.33,1,1
207,2360.0,0,8.33,1,1
208,2360.0,0,8.33,1,1
209,2360.0,0,8.33,1,1
210,2360.0,0,8.33,1,1
211,2360.0,0,8.33,1,1
212,2360.0,0,8.33,1,1
213,2360.0,0,8.33,1,1
214,2360.0,0,8.33,1,1
215,2360.0,0,8.33,1,1
216,2360.0,0,8.33,1,1
217,2360.0,0,8.33,1,1
218,2360.0,0,8.33,1,1
219,2360.0,0,8.33,1,1
220,2360.0,0,8.33,1,1
221,2360.0,0,8.33,1,1
222,2360.0,0,8.33,1,1
223,2360.0,0,8.33,1,1
224,2360.0,0,8.33,1,1
225,2360.0,0,8.33,1,1
226,2360.0,0,8.33,1,1
227,2360.0,0,8.33,1,1
228,2360.0,0,8.33,1,1
229,2360.0,0,8.33,1,1
230,2360.0,0,8.33,1,1
231,2360.0,0,8.33,1,1
232,2360.0,0,8.33,1,1
233,2360.0,0,8.33,1,1
234,2359.0,0,8.33,1,1
235,2359.0,0,8.33,1,1
236,345.0,0,8.33,1,1
237,345.0,0,8.33,1,1
238,2359.0,0,8.33,1,1
239,346.0,0,8.33,1,1
240,2358.0,0,8.33,1,1
241,347.0,0,8.33,1,1
242,2359.0,0,8.33,1,1
243,346.0,0,8.33,1,1
244,347.0,0,8.33,1,1
245,346.0,0,8.33,1,1
246,345.0,0,8.33,1,1
247,2358.0,0,8.33,1,1
248,345.0,0,8.33,1,1
249,2358.0,0,8.33,1,1
250,2357.0,0,8.33,1,1
251,345.0,0,8.33,1,1
252,2355.0,0,8.33,1,1
253,346.0,0,8.33,1,1
254,2354.0,0,8.33,1,1
255,2353.0,0,8.33,1,1
256,345.0,0,8.33,1,1
257,2353.0,0,8.33,1,1
258,2353.0,0,8.33,1,1
259,2354.0,0,8.33,1,1
260,2353.0,0,8.33,1,1
261,344.0,0,8.33,1,1
262,344.0,0,8.33,1,1
263,2355.0,0,8.33,1,1
264,2354.0,0,8.33,1,1
265,344.0,0,8.33,1,1
266,346.0,0,8.33,1,1
267,346.0,0,8.33,1,1
268,2357.0,0,8.33,1,1
269,344.0,0,8.33,1,1
270,348.0,0,8.33,1,1
271,347.0,0,8.33,1,1
272,344.0,0,8.33,1,1
273,2356.0,0,8.33,1,1
274,346.0,0,8.33,1,1
