second,distance,motion,lightIntensity,occupied
258,2385.00,0,0.83,1
259,2385.00,0,0.83,1
260,335.00,0,0.83,1
261,334.00,0,0.83,1
262,332.00,0,0.83,1
263,334.00,0,0.83,1
264,333.00,0,0.83,1
265,334.00,0,0.83,1
266,333.00,0,0.83,1
267,336.00,0,0.83,1
268,333.00,0,0.83,1
269,335.00,0,0.83,1
270,2386.00,0,0.83,1
271,335.00,0,0.83,1
272,2386.00,0,0.83,1
273,336.00,0,0.83,1
274,334.00,0,0.83,1
275,335.00,0,0.83,1
276,2385.00,0,0.83,1
277,2385.00,0,0.83,1
278,2386.00,0,0.83,1
279,2386.00,0,0.83,1
281,2386.00,0,0.83,1
282,335.00,0,0.83,1
283,2387.00,0,0.83,1
284,335.00,0,0.83,1
285,2386.00,0,0.83,1
286,2386.00,0,0.83,1
287,334.00,0,0.83,1
288,334.00,0,0.83,1
289,334.00,0,0.83,1
290,2385.00,0,0.83,1
291,2386.00,0,0.83,1
292,336.00,0,0.83,1
293,2387.00,0,0.83,1
294,2385.00,0,0.83,1
295,335.00,0,0.83,1
296,334.00,0,0.83,1
297,333.00,0,0.83,1
298,333.00,0,0.83,1
299,337.00,0,0.83,1
300,335.00,0,0.83,1
301,333.00,0,0.83,1
302,333.00,0,0.83,1
303,332.00,0,0.83,1
304,333.00,0,0.83,1
305,333.00,0,0.83,1
306,335.00,0,0.83,1
307,335.00,0,0.83,1
308,333.00,0,0.83,1
309,335.00,0,0.83,1
311,333.00,0,0.83,1
312,335.00,0,0.83,1
313,2388.00,0,0.83,1
314,334.00,0,0.83,1
315,2386.00,0,0.83,1
316,2387.00,0,0.83,1
317,2387.00,0,0.83,1
318,2387.00,0,0.83,1
319,334.00,0,0.83,1
320,2387.00,0,0.83,1
321,2387.00,0,0.83,1
322,2388.00,0,0.83,1
323,2387.00,0,0.83,1
324,335.00,0,0.83,1
325,335.00,0,0.83,1
326,336.00,0,0.83,1
327,334.00,0,0.83,1
328,333.00,0,0.83,1
329,2387.00,0,0.83,1
330,335.00,0,0.83,1
331,334.00,0,0.83,1
332,334.00,0,0.83,1
333,333.00,0,0.83,1
334,333.00,0,0.83,1
335,334.00,0,0.83,1
336,335.00,0,0.83,1
337,333.00,0,0.83,1
338,334.00,0,0.83,1
340,333.00,0,0.83,1
341,334.00,0,0.83,1
342,333.00,0,0.83,1
343,334.00,0,0.83,1
344,337.00,0,0.83,1
345,2395.00,0,0.83,1
346,333.00,0,0.83,1
347,335.00,0,0.83,1
348,334.00,0,0.83,1
349,333.00,0,0.83,1
350,333.00,0,0.83,1
351,333.00,0,0.83,1
352,333.00,0,0.83,1
353,333.00,0,0.83,1
354,335.00,0,0.83,1
355,333.00,0,0.83,1
356,333.00,0,0.83,1
357,334.00,0,0.83,1
358,334.00,0,0.83,1
359,334.00,0,0.83,1
360,336.00,0,0.83,1
361,333.00,0,0.83,1
362,333.00,0,0.83,1
363,333.00,0,0.83,1
364,333.00,0,0.83,1
365,334.00,0,0.83,1
366,334.00,0,0.83,1
367,335.00,0,0.83,1
368,333.00,0,0.83,1
370,333.00,0,0.83,1
371,333.00,0,0.83,1
372,334.00,0,0.83,1
373,335.00,0,0.83,1
374,334.00,0,0.83,1
375,336.00,0,0.83,1
376,334.00,0,0.83,1
377,333.00,0,0.83,1
378,334.00,0,0.83,1
379,336.00,0,0.83,1
380,333.00,0,0.83,1
381,334.00,0,0.83,1
382,334.00,0,0.83,1
383,333.00,0,0.83,1
384,333.00,0,0.83,1
385,333.00,0,0.83,1
386,335.00,0,0.83,1
387,333.00,0,0.83,1
388,334.00,0,0.83,1
389,2406.00,0,0.83,1
390,335.00,0,0.83,1
391,335.00,0,0.83,1
392,335.00,0,0.83,1
393,335.00,0,0.83,1
394,2405.00,0,0.83,1
395,2405.00,0,0.83,1
396,334.00,0,0.83,1
397,335.00,0,0.83,1
398,335.00,0,0.83,1
400,334.00,0,0.83,1
401,2407.00,0,0.83,1
402,334.00,0,0.83,1
403,333.00,0,0.83,1
404,333.00,0,0.83,1
405,335.00,0,0.83,1
406,336.00,0,0.83,1
407,334.00,0,0.83,1
408,333.00,0,0.83,1
409,333.00,0,0.83,1
410,336.00,0,0.83,1
411,335.00,0,0.83,1
412,335.00,0,0.83,1
413,334.00,0,0.83,1
414,333.00,0,0.83,1
415,333.00,0,0.83,1
416,335.00,0,0.83,1
417,335.00,0,0.83,1
418,334.00,0,0.83,1
419,334.00,0,0.83,1
420,334.00,0,0.83,1
421,333.00,0,0.83,1
422,333.00,0,0.83,1
423,333.00,0,0.83,1
424,335.00,0,0.83,1
425,333.00,0,0.83,1
426,333.00,0,0.83,1
427,335.00,0,0.83,1
428,335.00,0,0.83,1
430,333.00,0,0.83,1
431,335.00,0,0.83,1
432,335.00,0,0.83,1
433,333.00,0,0.83,1
434,334.00,0,0.83,1
435,335.00,0,0.83,1
436,335.00,0,0.83,1
437,2411.00,0,0.83,1
438,2410.00,0,0.83,1
439,335.00,0,0.83,1
440,336.00,0,0.83,1
441,335.00,0,0.83,1
442,334.00,0,0.83,1
443,2412.00,0,0.83,1
444,336.00,0,0.83,1
445,2413.00,0,0.83,1
446,2413.00,0,0.83,1
447,334.00,0,0.83,1
448,2410.00,0,0.83,1
449,2409.00,0,0.83,1
450,333.00,0,0.83,1
451,335.00,0,0.83,1
452,333.00,0,0.83,1
453,335.00,0,0.83,1
454,336.00,0,0.83,1
455,333.00,0,0.83,1
456,333.00,0,0.83,1
457,334.00,0,0.83,1
458,333.00,0,0.83,1
460,333.00,0,0.83,1
461,333.00,0,0.83,1
462,334.00,0,0.83,1
463,2411.00,0,0.83,1
464,2407.00,0,0.83,1
465,2407.00,0,0.83,1
466,335.00,0,0.83,1
467,336.00,0,0.83,1
468,334.00,0,0.83,1
469,334.00,0,0.83,1
470,333.00,0,0.83,1
471,333.00,0,0.83,1
472,333.00,0,0.83,1
473,334.00,0,0.83,1
474,336.00,0,0.83,1
475,335.00,0,0.83,1
476,333.00,0,0.83,1
477,333.00,0,0.83,1
478,333.00,0,0.83,1
