second,distance,motion,lightIntensity,occupied,occupied_note
1,333.0,0,7.5,1,1.0
2,2376.0,0,7.5,1,1.0
3,336.0,0,7.5,1,1.0
4,335.0,0,7.5,1,1.0
5,334.0,0,7.5,1,1.0
6,335.0,0,7.5,1,1.0
7,333.0,1,7.5,1,1.0
8,334.0,0,7.5,1,1.0
9,2383.0,0,7.5,1,1.0
10,336.0,0,7.5,1,1.0
11,334.0,0,7.5,1,1.0
12,334.0,0,7.5,1,1.0
13,333.0,0,7.5,1,1.0
14,335.0,0,7.5,1,1.0
15,334.0,0,7.5,1,1.0
16,335.0,0,7.5,1,1.0
17,333.0,0,7.5,1,1.0
18,333.0,0,7.5,1,1.0
19,335.0,0,7.5,1,1.0
20,334.0,0,7.5,1,1.0
21,334.0,0,7.5,1,1.0
22,333.0,0,7.5,1,1.0
23,2382.0,0,7.5,1,1.0
24,335.0,0,7.5,1,1.0
25,2382.0,1,7.5,1,1.0
26,2382.0,1,7.5,1,1.0
27,2382.0,0,7.5,1,1.0
28,2382.0,0,7.5,1,1.0
29,2382.0,0,7.5,1,1.0
30,2383.0,1,7.5,1,1.0
31,2381.0,0,7.5,1,1.0
32,2381.0,0,7.5,1,1.0
33,2384.0,0,7.5,1,1.0
34,2382.0,1,7.5,1,1.0
35,2382.0,0,7.5,1,1.0
36,2382.0,0,7.5,1,1.0
37,2382.0,0,7.5,1,1.0
38,2382.0,0,7.5,1,1.0
39,335.0,1,7.5,1,1.0
40,336.0,0,7.5,1,1.0
41,2382.0,0,7.5,1,1.0
42,2382.0,0,7.5,1,1.0
43,2381.0,0,7.5,1,1.0
44,147.0,1,7.5,1,1.0
45,2382.0,0,7.5,1,1.0
46,2382.0,0,7.5,1,1.0
47,2382.0,0,7.5,1,1.0
48,2382.0,0,7.5,1,1.0
49,2382.0,0,7.5,1,1.0
50,2382.0,1,7.5,1,1.0
51,2382.0,0,7.5,1,1.0
52,2382.0,0,7.5,1,1.0
53,2382.0,0,7.5,1,1.0
54,2382.0,0,7.5,1,1.0
55,2382.0,0,7.5,1,1.0
56,2382.0,1,7.5,1,1.0
57,335.0,0,7.5,1,1.0
58,333.0,0,7.5,1,1.0
59,2382.0,0,7.5,1,1.0
60,335.0,0,7.5,1,1.0
61,334.0,0,7.5,1,1.0
62,334.0,0,7.5,1,1.0
63,336.0,0,7.5,1,1.0
64,337.0,0,7.5,1,1.0
65,335.0,0,7.5,1,1.0
66,2382.0,1,7.5,1,1.0
67,144.0,0,6.67,1,1.0
68,2382.0,0,7.5,1,1.0
69,59.0,0,7.5,1,1.0
70,2382.0,0,7.5,1,1.0
71,2382.0,1,7.5,1,1.0
72,2382.0,1,7.5,1,1.0
73,2382.0,0,7.5,1,1.0
74,2383.0,0,7.5,1,1.0
75,2382.0,0,7.5,1,1.0
76,2382.0,1,7.5,1,1.0
77,118.0,0,7.5,1,1.0
78,2382.0,0,7.5,1,1.0
79,333.0,0,7.5,1,1.0
80,2382.0,1,7.5,1,1.0
81,334.0,1,7.5,1,1.0
82,2382.0,0,7.5,1,1.0
83,334.0,0,7.5,1,1.0
84,333.0,0,7.5,1,1.0
85,336.0,1,7.5,1,1.0
86,333.0,0,7.5,1,1.0
87,335.0,0,7.5,1,1.0
88,334.0,0,7.5,1,1.0
89,333.0,0,7.5,1,1.0
90,334.0,0,7.5,1,1.0
91,333.0,0,7.5,1,1.0
92,333.0,0,7.5,1,1.0
93,333.0,0,7.5,1,1.0
94,2382.0,1,7.5,1,1.0
95,334.0,0,7.5,1,1.0
96,335.0,0,7.5,1,1.0
97,335.0,0,7.5,1,1.0
98,333.0,1,7.5,1,1.0
99,337.0,0,7.5,1,1.0
100,2382.0,0,7.5,1,1.0
101,2382.0,0,7.5,1,1.0
102,2382.0,0,7.5,1,1.0
103,2382.0,0,7.5,1,1.0
104,334.0,1,7.5,1,1.0
105,2381.0,0,6.67,1,1.0
106,2382.0,0,7.5,1,1.0
107,334.0,0,7.5,1,1.0
108,2382.0,1,6.67,1,1.0
109,2382.0,0,6.67,1,1.0
110,2382.0,0,6.67,1,1.0
111,2382.0,0,5.83,1,1.0
112,2382.0,1,7.5,1,1.0
113,2381.0,0,7.5,1,1.0
114,333.0,0,7.5,1,1.0
115,334.0,0,7.5,1,1.0
116,2382.0,0,7.5,1,1.0
117,2382.0,0,7.5,1,1.0
118,337.0,0,7.5,1,1.0
119,335.0,1,7.5,1,1.0
120,2382.0,0,7.5,1,1.0
121,335.0,0,6.67,1,1.0
122,2381.0,0,7.5,1,1.0
123,2383.0,1,7.5,1,1.0
124,2382.0,0,7.5,1,1.0
125,2383.0,0,7.5,1,1.0
126,2382.0,0,7.5,1,1.0
127,2382.0,0,7.5,1,1.0
128,2382.0,0,7.5,1,1.0
129,2382.0,0,7.5,1,1.0
130,2383.0,0,7.5,1,1.0
131,2382.0,1,7.5,1,1.0
132,2383.0,0,7.5,1,1.0
133,2382.0,0,7.5,1,1.0
134,2382.0,0,7.5,1,1.0
135,2382.0,1,7.5,1,1.0
136,2382.0,0,7.5,1,1.0
137,333.0,0,7.5,1,1.0
138,2381.0,0,7.5,1,1.0
139,2382.0,0,7.5,1,1.0
140,2382.0,1,7.5,1,1.0
141,2382.0,0,7.5,1,1.0
142,2382.0,0,7.5,1,1.0
143,2382.0,0,7.5,1,1.0
144,2382.0,0,7.5,1,1.0
145,2382.0,1,7.5,1,1.0
146,2382.0,0,7.5,1,1.0
147,2382.0,0,7.5,1,1.0
148,2382.0,0,7.5,1,1.0
149,333.0,1,7.5,1,1.0
150,2383.0,0,7.5,1,1.0
151,2382.0,0,7.5,1,1.0
152,2382.0,0,7.5,1,1.0
153,2382.0,0,7.5,1,1.0
154,2382.0,1,7.5,1,1.0
155,2382.0,1,7.5,1,1.0
156,2382.0,0,7.5,1,1.0
157,2382.0,0,7.5,1,1.0
158,335.0,0,6.67,1,1.0
159,337.0,1,7.5,1,1.0
160,336.0,0,7.5,1,1.0
161,2382.0,0,7.5,1,1.0
162,334.0,0,7.5,1,1.0
163,2382.0,0,7.5,1,1.0
164,335.0,0,7.5,1,1.0
165,333.0,0,7.5,1,1.0
166,334.0,0,7.5,1,1.0
167,333.0,1,7.5,1,1.0
168,333.0,0,7.5,1,1.0
169,333.0,0,7.5,1,1.0
170,333.0,0,7.5,1,1.0
171,333.0,1,7.5,1,1.0
172,335.0,1,7.5,1,1.0
173,334.0,0,7.5,1,1.0
174,334.0,0,7.5,1,1.0
175,333.0,1,7.5,1,1.0
176,334.0,1,7.5,1,1.0
177,2383.0,0,7.5,1,1.0
178,335.0,0,7.5,1,1.0
179,2384.0,0,7.5,1,1.0
180,335.0,0,7.5,1,1.0
181,333.0,1,6.67,1,1.0
182,2384.0,0,6.67,1,1.0
183,333.0,0,7.5,1,1.0
184,2384.0,0,7.5,1,1.0
185,335.0,0,7.5,1,1.0
186,2384.0,1,7.5,1,1.0
187,333.0,1,7.5,1,1.0
188,335.0,0,7.5,1,1.0
189,335.0,0,7.5,1,1.0
190,335.0,0,7.5,1,1.0
191,335.0,0,7.5,1,1.0
192,335.0,0,7.5,1,1.0
193,336.0,0,7.5,1,1.0
194,2384.0,0,7.5,1,1.0
195,334.0,0,7.5,1,1.0
196,333.0,0,7.5,1,1.0
197,335.0,1,7.5,1,1.0
198,333.0,1,7.5,1,1.0
199,2384.0,0,7.5,1,1.0
200,334.0,0,7.5,1,1.0
201,333.0,0,7.5,1,1.0
202,334.0,1,7.5,1,1.0
203,109.0,0,7.5,1,1.0
204,124.0,0,7.5,1,1.0
205,113.0,0,7.5,1,1.0
206,2386.0,1,7.5,1,1.0
207,91.0,0,7.5,1,1.0
208,99.0,0,7.5,1,1.0
209,2385.0,0,7.5,1,1.0
210,2385.0,0,7.5,1,1.0
211,2385.0,0,7.5,1,1.0
212,2385.0,1,7.5,1,1.0
213,333.0,1,7.5,1,1.0
214,333.0,0,6.67,1,1.0
215,333.0,0,0.83,1,1.0
216,333.0,0,0.83,1,1.0
217,332.0,1,0.83,1,1.0
218,333.0,1,0.83,1,1.0
219,2385.0,0,0.83,1,1.0
220,2385.0,0,0.83,1,1.0
221,335.0,0,0.83,1,1.0
222,334.0,0,0.83,1,1.0
223,332.0,0,0.83,1,1.0
224,334.0,0,0.83,1,1.0
225,333.0,0,0.83,1,1.0
226,334.0,0,0.83,1,1.0
227,333.0,0,0.83,1,1.0
228,336.0,0,0.83,1,1.0
229,333.0,0,0.83,1,1.0
230,335.0,0,0.83,1,1.0
