second,distance,motion,lightIntensity,occupied
228,131.0,0,3.33,1
229,338.0,0,4.17,1
230,133.0,0,4.17,1
231,285.0,0,4.17,1
232,282.0,0,4.17,1
233,282.0,0,4.17,1
234,283.0,0,4.17,1
235,282.0,0,4.17,1
236,282.0,0,4.17,1
237,282.0,0,4.17,1
238,129.0,0,4.17,1
239,281.0,0,4.17,1
240,282.0,0,4.17,1
241,282.0,0,4.17,1
242,280.0,0,4.17,1
243,284.0,0,4.17,1
244,282.0,0,4.17,1
245,338.0,0,4.17,1
246,282.0,0,4.17,1
247,282.0,0,4.17,1
248,337.0,0,4.17,1
249,283.0,0,4.17,1
250,282.0,0,4.17,1
251,281.0,0,4.17,1
252,282.0,0,4.17,1
253,284.0,0,4.17,1
254,284.0,0,4.17,1
255,283.0,0,4.17,1
256,284.0,0,4.17,1
257,282.0,0,4.17,1
258,282.0,0,4.17,1
259,284.0,0,3.33,1
260,336.0,0,4.17,1
261,281.0,0,3.33,1
262,283.0,0,3.33,1
263,338.0,0,3.33,1
264,130.0,0,3.33,1
265,283.0,0,3.33,1
266,284.0,0,3.33,1
267,282.0,0,3.33,1
268,129.0,0,3.33,1
269,337.0,0,3.33,1
270,283.0,0,3.33,1
271,279.0,0,3.33,1
272,280.0,0,3.33,1
273,337.0,0,3.33,1
274,283.0,0,3.33,1
275,282.0,0,3.33,1
276,282.0,0,3.33,1
277,282.0,0,3.33,1
278,282.0,0,2.5,1
279,283.0,0,2.5,1
280,285.0,0,2.5,1
281,282.0,0,2.5,1
282,338.0,0,2.5,1
283,282.0,0,2.5,1
284,337.0,0,2.5,1
285,336.0,0,2.5,1
286,282.0,0,2.5,1
287,282.0,0,2.5,1
288,284.0,0,2.5,1
289,283.0,0,2.5,1
290,282.0,0,2.5,1
291,279.0,0,2.5,1
292,282.0,0,2.5,1
293,186.0,0,2.5,1
294,337.0,0,2.5,1
295,338.0,0,2.5,1
296,284.0,0,2.5,1
297,284.0,0,2.5,1
298,283.0,0,2.5,1
299,283.0,0,2.5,1
300,337.0,0,2.5,1
301,282.0,0,2.5,1
302,282.0,0,2.5,1
303,281.0,0,2.5,1
304,282.0,0,2.5,1
305,282.0,0,2.5,1
306,282.0,0,2.5,1
307,283.0,0,2.5,1
308,282.0,0,2.5,1
309,284.0,0,2.5,1
310,282.0,0,2.5,1
311,281.0,0,2.5,1
312,283.0,0,2.5,1
313,337.0,0,2.5,1
314,282.0,0,2.5,1
315,281.0,0,3.33,1
316,282.0,0,3.33,1
317,132.0,0,3.33,1
318,282.0,0,3.33,1
319,131.0,0,3.33,1
320,282.0,0,3.33,1
321,336.0,0,4.17,1
322,132.0,0,4.17,1
323,282.0,0,4.17,1
324,282.0,0,4.17,1
325,280.0,0,4.17,1
326,282.0,0,4.17,1
327,283.0,0,3.33,1
328,336.0,0,3.33,1
329,130.0,0,3.33,1
330,284.0,0,3.33,1
331,282.0,0,4.17,1
332,337.0,0,4.17,1
333,282.0,0,4.17,1
334,338.0,0,4.17,1
335,130.0,0,4.17,1
336,128.0,0,4.17,1
337,129.0,0,4.17,1
338,129.0,0,4.17,1
339,282.0,0,4.17,1
340,129.0,0,4.17,1
341,282.0,0,4.17,1
342,336.0,0,4.17,1
343,128.0,0,4.17,1
344,281.0,0,4.17,1
345,282.0,0,4.17,1
346,132.0,0,4.17,1
347,191.0,0,4.17,1
348,281.0,0,4.17,1
349,282.0,0,4.17,1
350,282.0,0,4.17,1
351,282.0,0,4.17,1
352,282.0,0,3.33,1
353,282.0,0,3.33,1
354,193.0,0,3.33,1
355,130.0,0,4.17,1
356,282.0,0,3.33,1
357,281.0,0,3.33,1
358,128.0,0,3.33,1
359,132.0,0,3.33,1
360,282.0,0,3.33,1
361,282.0,0,3.33,1
362,282.0,0,3.33,1
363,284.0,0,3.33,1
364,129.0,0,3.33,1
365,284.0,0,3.33,1
366,338.0,0,3.33,1
367,280.0,0,3.33,1
368,283.0,0,3.33,1
369,282.0,0,3.33,1
370,339.0,0,3.33,1
371,129.0,0,3.33,1
372,128.0,0,3.33,1
373,283.0,0,3.33,1
374,283.0,0,2.5,1
375,282.0,0,2.5,1
376,283.0,0,2.5,1
377,282.0,0,2.5,1
378,282.0,0,2.5,1
379,283.0,0,2.5,1
380,285.0,0,2.5,1
381,129.0,0,2.5,1
382,280.0,0,2.5,1
383,283.0,0,2.5,1
384,281.0,0,2.5,1
385,284.0,0,3.33,1
386,282.0,0,3.33,1
387,281.0,0,3.33,1
388,281.0,0,3.33,1
389,337.0,0,4.17,1
390,282.0,0,4.17,1
391,127.0,0,4.17,1
392,282.0,0,4.17,1
393,282.0,0,4.17,1
394,283.0,0,4.17,1
395,282.0,0,4.17,1
396,283.0,0,4.17,1
397,283.0,0,4.17,1
398,2348.0,0,4.17,1
399,131.0,0,4.17,1
400,337.0,0,4.17,1
401,282.0,0,4.17,1
402,283.0,0,4.17,1
403,283.0,0,4.17,1
404,283.0,0,4.17,1
405,286.0,0,4.17,1
406,281.0,0,4.17,1
407,282.0,0,4.17,1
408,281.0,0,4.17,1
409,129.0,0,4.17,1
410,281.0,0,4.17,1
411,282.0,0,4.17,1
412,283.0,0,4.17,1
413,283.0,0,4.17,1
414,129.0,0,4.17,1
415,280.0,0,4.17,1
416,281.0,0,4.17,1
417,282.0,0,4.17,1
418,129.0,0,4.17,1
419,281.0,0,4.17,1
420,337.0,0,4.17,1
421,282.0,0,4.17,1
422,281.0,0,4.17,1
423,281.0,0,4.17,1
424,130.0,0,4.17,1
425,280.0,0,4.17,1
426,279.0,0,4.17,1
427,281.0,0,4.17,1
428,281.0,0,4.17,1
429,282.0,0,4.17,1
430,282.0,0,4.17,1
431,337.0,0,4.17,1
432,282.0,0,4.17,1
433,127.0,0,4.17,1
434,281.0,0,4.17,1
435,128.0,0,4.17,1
436,126.0,0,4.17,1
437,285.0,0,4.17,1
438,283.0,0,4.17,1
439,284.0,0,4.17,1
440,282.0,0,4.17,1
441,283.0,0,4.17,1
442,283.0,0,4.17,1
443,282.0,0,4.17,1
444,284.0,0,4.17,1
445,281.0,0,4.17,1
446,282.0,0,4.17,1
447,128.0,0,4.17,1
448,281.0,0,4.17,1
449,130.0,0,3.33,1
450,188.0,0,3.33,1
451,282.0,0,4.17,1
452,281.0,0,3.33,1
453,287.0,0,3.33,1
454,280.0,0,3.33,1
455,282.0,0,3.33,1
456,284.0,0,3.33,1
457,283.0,0,3.33,1
458,281.0,0,4.17,1
459,123.0,0,4.17,1
460,282.0,0,4.17,1
461,282.0,0,4.17,1
462,130.0,0,4.17,1
463,280.0,0,4.17,1
464,282.0,0,4.17,1
465,284.0,0,4.17,1
466,282.0,0,4.17,1
467,282.0,0,4.17,1
468,127.0,0,4.17,1
469,282.0,0,4.17,1
470,280.0,0,4.17,1
471,281.0,0,4.17,1
472,282.0,0,4.17,1
473,130.0,0,4.17,1
474,281.0,0,4.17,1
475,282.0,0,4.17,1
476,281.0,0,4.17,1
477,286.0,0,4.17,1
478,282.0,0,4.17,1
479,337.0,0,4.17,1
480,281.0,0,4.17,1
481,189.0,0,4.17,1
482,128.0,0,4.17,1
483,128.0,0,4.17,1
484,282.0,0,4.17,1
485,281.0,0,4.17,1
486,282.0,0,4.17,1
487,282.0,0,4.17,1
488,128.0,0,4.17,1
489,129.0,0,4.17,1
490,131.0,0,4.17,1
491,130.0,0,4.17,1
492,129.0,0,4.17,1
493,284.0,0,4.17,1
494,282.0,0,4.17,1
495,282.0,0,4.17,1
496,336.0,0,4.17,1
497,282.0,0,4.17,1
498,282.0,0,4.17,1
499,131.0,0,4.17,1
500,281.0,0,4.17,1
501,282.0,0,4.17,1
502,282.0,0,4.17,1
503,282.0,0,4.17,1
504,282.0,0,4.17,1
505,282.0,0,4.17,1
506,282.0,0,4.17,1
507,282.0,0,4.17,1
508,282.0,0,4.17,1
509,282.0,0,4.17,1
510,282.0,0,4.17,1
511,282.0,0,4.17,1
512,282.0,0,4.17,1
513,282.0,0,4.17,1
514,282.0,0,4.17,1
515,282.0,0,4.17,1
516,282.0,0,4.17,1
517,282.0,0,4.17,1
518,282.0,0,4.17,1
519,282.0,0,4.17,1
520,282.0,0,4.17,1
521,282.0,0,4.17,1
522,282.0,0,4.17,1
523,282.0,0,4.17,1
524,282.0,0,4.17,1
525,282.0,0,4.17,1
526,282.0,0,4.17,1
527,282.0,0,4.17,1
528,282.0,0,4.17,1
529,282.0,0,4.17,1
530,282.0,0,4.17,1
531,282.0,0,4.17,1
532,282.0,0,4.17,1
533,282.0,0,4.17,1
534,282.0,0,4.17,1
535,282.0,0,4.17,1
536,282.0,0,4.17,1
537,282.0,0,4.17,1
538,282.0,0,4.17,1
539,282.0,0,4.17,1
540,282.0,0,4.17,1
541,282.0,0,4.17,1
542,282.0,0,4.17,1
543,282.0,0,4.17,1
544,282.0,0,4.17,1
545,282.0,0,4.17,1
546,282.0,0,4.17,1
547,282.0,0,4.17,1
548,282.0,0,4.17,1
549,282.0,0,4.17,1
550,282.0,0,4.17,1
551,282.0,0,4.17,1
552,282.0,0,4.17,1
553,282.0,0,4.17,1
554,282.0,0,4.17,1
555,282.0,0,4.17,1
556,282.0,0,4.17,1
557,282.0,0,4.17,1
558,283.0,0,4.17,1
559,282.0,0,4.17,1
560,284.0,0,4.17,1
561,281.0,0,4.17,1
562,283.0,0,4.17,1
563,281.0,0,4.17,1
564,283.0,0,4.17,1
565,337.0,0,4.17,1
566,336.0,0,4.17,1
567,282.0,0,4.17,1
568,282.0,0,4.17,1
569,129.0,0,4.17,1
570,130.0,0,4.17,1
571,129.0,0,4.17,1
572,128.0,0,4.17,1
573,281.0,0,4.17,1
574,281.0,0,4.17,1
575,283.0,0,4.17,1
576,281.0,0,4.17,1
577,133.0,0,4.17,1
578,282.0,0,4.17,1
579,336.0,0,4.17,1
580,282.0,0,4.17,1
581,129.0,0,4.17,1
582,283.0,0,4.17,1
583,130.0,0,4.17,1
584,283.0,0,4.17,1
585,282.0,0,4.17,1
586,282.0,0,4.17,1
587,131.0,0,4.17,1
588,281.0,0,4.17,1
589,280.0,0,4.17,1
590,281.0,0,4.17,1
591,338.0,0,4.17,1
592,281.0,0,4.17,1
593,283.0,0,4.17,1
594,282.0,0,4.17,1
595,282.0,0,4.17,1
596,282.0,0,4.17,1
597,281.0,0,4.17,1
598,130.0,0,4.17,1
599,282.0,0,4.17,1
600,282.0,0,4.17,1
601,282.0,0,4.17,1
602,126.0,0,4.17,1
603,282.0,0,4.17,1
604,282.0,0,4.17,1
605,281.0,0,4.17,1
606,130.0,0,4.17,1
607,127.0,0,4.17,1
608,282.0,0,4.17,1
609,282.0,0,4.17,1
610,131.0,0,4.17,1
611,281.0,0,4.17,1
612,126.0,0,4.17,1
613,130.0,0,4.17,1
614,282.0,0,4.17,1
615,281.0,0,4.17,1
616,338.0,0,4.17,1
617,338.0,0,4.17,1
618,338.0,0,4.17,1
619,338.0,0,4.17,1
620,338.0,0,4.17,1
621,338.0,0,4.17,1
622,338.0,0,4.17,1
623,338.0,0,4.17,1
624,338.0,0,4.17,1
625,338.0,0,4.17,1
626,338.0,0,4.17,1
627,338.0,0,4.17,1
628,338.0,0,4.17,1
629,338.0,0,4.17,1
630,338.0,0,4.17,1
631,338.0,0,4.17,1
632,338.0,0,4.17,1
633,338.0,0,4.17,1
634,338.0,0,4.17,1
635,338.0,0,4.17,1
636,338.0,0,4.17,1
637,338.0,0,4.17,1
638,338.0,0,4.17,1
639,338.0,0,4.17,1
640,338.0,0,4.17,1
641,338.0,0,4.17,1
642,338.0,0,4.17,1
643,338.0,0,4.17,1
644,338.0,0,4.17,1
645,338.0,0,4.17,1
646,338.0,0,4.17,1
647,338.0,0,4.17,1
648,338.0,0,4.17,1
649,338.0,0,4.17,1
650,338.0,0,4.17,1
651,338.0,0,4.17,1
652,338.0,0,4.17,1
653,338.0,0,4.17,1
654,338.0,0,4.17,1
655,338.0,0,4.17,1
656,338.0,0,4.17,1
657,338.0,0,4.17,1
658,338.0,0,4.17,1
659,338.0,0,4.17,1
660,338.0,0,4.17,1
661,338.0,0,4.17,1
662,338.0,0,4.17,1
663,338.0,0,4.17,1
664,338.0,0,4.17,1
665,338.0,0,4.17,1
666,338.0,0,4.17,1
667,338.0,0,4.17,1
668,338.0,0,4.17,1
669,338.0,0,4.17,1
670,338.0,0,4.17,1
671,338.0,0,4.17,1
672,338.0,0,4.17,1
673,338.0,0,4.17,1
