second,distance,motion,lightIntensity,occupied,occupied_note
1,142,0,18.33,1,1
2,187,0,18.33,1,1
3,120,0,18.33,1,1
4,128,0,18.33,1,1
5,129,0,18.33,1,1
6,137,0,18.33,1,1
7,125,0,18.33,1,1
8,193,0,19.17,1,1
9,166,0,18.33,1,1
10,116,0,18.33,1,1
11,126,0,18.33,1,1
12,112,0,18.33,1,1
13,105,0,18.33,1,1
14,175,0,18.33,1,1
15,154,1,18.33,1,1
16,151,0,18.33,1,1
17,120,0,18.33,1,1
18,201,0,18.33,1,1
19,199,0,18.33,1,1
20,118,0,18.33,1,1
21,209,0,18.33,1,1
22,195,0,18.33,1,1
23,110,0,18.33,1,1
24,196,0,18.33,1,1
25,131,0,18.33,1,1
26,143,0,18.33,1,1
27,113,0,18.33,1,1
28,164,0,18.33,1,1
29,133,0,18.33,1,1
30,151,0,18.33,1,1
31,147,0,18.33,1,1
32,161,0,18.33,1,1
33,115,0,18.33,1,1
34,132,0,18.33,1,1
35,120,1,18.33,1,1
36,121,0,19.17,1,1
37,131,0,19.17,1,1
38,121,0,19.17,1,1
39,116,0,18.33,1,1
40,117,0,18.33,1,1
41,138,0,18.33,1,1
42,191,0,18.33,1,1
43,148,0,18.33,1,1
44,135,0,18.33,1,1
45,109,0,18.33,1,1
46,146,0,18.33,1,1
47,164,0,18.33,1,1
48,204,0,18.33,1,1
49,117,0,18.33,1,1
50,147,0,18.33,1,1
51,136,0,18.33,1,1
52,128,0,18.33,1,1
53,132,0,18.33,1,1
54,171,0,18.33,1,1
55,109,0,18.33,1,1
56,212,0,18.33,1,1
57,139,0,18.33,1,1
58,121,0,18.33,1,1
59,138,0,18.33,1,1
60,112,0,18.33,1,1
61,191,0,18.33,1,1
62,182,0,18.33,1,1
63,104,0,18.33,1,1
64,140,0,18.33,1,1
65,122,0,18.33,1,1
66,146,0,18.33,1,1
67,117,0,18.33,1,1
68,126,0,18.33,1,1
69,125,0,18.33,1,1
70,132,0,18.33,1,1
71,152,1,18.33,1,1
72,108,1,18.33,1,1
73,116,0,18.33,1,1
74,160,0,18.33,1,1
75,138,0,18.33,1,1
76,110,0,18.33,1,1
77,200,0,18.33,1,1
78,202,0,18.33,1,1
79,143,0,18.33,1,1
80,290,1,18.33,1,1
81,129,1,18.33,1,1
82,183,0,18.33,1,1
83,128,0,18.33,1,1
84,117,0,18.33,1,1
85,292,0,18.33,1,1
86,170,0,18.33,1,1
87,115,0,18.33,1,1
88,121,0,18.33,1,1
89,149,0,18.33,1,1
90,167,0,18.33,1,1
91,132,0,18.33,1,1
92,189,0,18.33,1,1
93,119,0,18.33,1,1
94,126,0,18.33,1,1
95,129,0,18.33,1,1
96,154,0,18.33,1,1
97,150,0,18.33,1,1
98,167,0,18.33,1,1
99,153,0,18.33,1,1
100,163,0,18.33,1,1
101,125,0,18.33,1,1
102,126,0,18.33,1,1
103,292,1,18.33,1,1
104,97,1,18.33,1,1
105,115,0,18.33,1,1
106,122,0,18.33,1,1
107,141,1,18.33,1,1
108,201,0,18.33,1,1
109,194,0,18.33,1,1
110,197,0,18.33,1,1
111,292,0,18.33,1,1
112,137,0,18.33,1,1
113,151,0,18.33,1,1
114,201,0,18.33,1,1
115,132,0,18.33,1,1
116,136,0,18.33,1,1
117,156,0,18.33,1,1
118,121,0,18.33,1,1
119,141,0,18.33,1,1
120,201,0,18.33,1,1
121,164,0,18.33,1,1
122,129,0,18.33,1,1
123,176,0,18.33,1,1
124,138,0,18.33,1,1
125,127,0,18.33,1,1
126,124,0,18.33,1,1
127,158,0,18.33,1,1
128,141,0,18.33,1,1
129,289,0,18.33,1,1
130,119,0,18.33,1,1
131,130,0,18.33,1,1
132,119,0,18.33,1,1
133,125,0,18.33,1,1
134,165,0,19.17,1,1
135,118,0,19.17,1,1
136,145,0,19.17,1,1
137,97,0,19.17,1,1
138,189,0,19.17,1,1
139,153,0,19.17,1,1
140,135,0,19.17,1,1
141,146,0,19.17,1,1
142,145,0,19.17,1,1
143,109,0,19.17,1,1
144,127,0,19.17,1,1
145,180,0,19.17,1,1
146,105,0,19.17,1,1
147,194,0,19.17,1,1
148,131,0,19.17,1,1
149,134,0,19.17,1,1
150,133,0,19.17,1,1
151,88,0,19.17,1,1
152,172,0,19.17,1,1
153,291,0,19.17,1,1
154,129,0,19.17,1,1
155,163,0,19.17,1,1
156,194,0,19.17,1,1
157,173,0,19.17,1,1
158,123,0,19.17,1,1
159,159,0,19.17,1,1
160,148,0,19.17,1,1
161,111,0,19.17,1,1
162,133,0,19.17,1,1
163,148,0,19.17,1,1
164,129,0,19.17,1,1
165,291,0,18.33,1,1
166,115,0,18.33,1,1
167,139,0,18.33,1,1
168,110,0,18.33,1,1
169,104,0,18.33,1,1
170,204,0,18.33,1,1
171,121,0,19.17,1,1
172,183,0,18.33,1,1
173,106,0,19.17,1,1
174,155,0,18.33,1,1
175,346,0,18.33,1,1
176,161,0,18.33,1,1
177,182,0,19.17,1,1
178,346,0,19.17,1,1
179,135,0,18.33,1,1
180,101,0,18.33,1,1
181,128,0,18.33,1,1
182,174,0,18.33,1,1
183,170,0,18.33,1,1
184,215,0,18.33,1,1
185,204,0,18.33,1,1
186,208,0,18.33,1,1
187,132,0,18.33,1,1
188,109,0,18.33,1,1
189,144,0,18.33,1,1
190,112,0,18.33,1,1
191,130,0,19.17,1,1
192,346,0,18.33,1,1
193,175,0,18.33,1,1
194,178,0,18.33,1,1
195,177,0,18.33,1,1
196,124,0,18.33,1,1
197,132,0,18.33,1,1
198,131,0,18.33,1,1
199,189,0,18.33,1,1
200,130,0,18.33,1,1
201,116,0,18.33,1,1
202,290,0,18.33,1,1
203,95,0,18.33,1,1
204,134,0,18.33,1,1
205,117,0,18.33,1,1
206,151,0,18.33,1,1
207,138,0,18.33,1,1
208,132,0,18.33,1,1
209,140,0,18.33,1,1
210,182,0,18.33,1,1
211,132,0,18.33,1,1
212,132,0,18.33,1,1
213,133,0,18.33,1,1
214,189,0,18.33,1,1
215,136,0,18.33,1,1
216,102,0,18.33,1,1
217,143,0,18.33,1,1
218,169,0,18.33,1,1
219,116,0,18.33,1,1
220,152,0,18.33,1,1
221,129,0,18.33,1,1
222,196,0,18.33,1,1
223,126,0,18.33,1,1
224,151,0,18.33,1,1
225,154,0,18.33,1,1
226,215,0,18.33,1,1
227,108,0,19.17,1,1
228,108,0,18.33,1,1
229,108,0,18.33,1,1
230,108,0,18.33,1,1
231,108,0,18.33,1,1
232,108,0,18.33,1,1
233,108,0,18.33,1,1
234,108,0,18.33,1,1
235,108,0,18.33,1,1
236,108,0,18.33,1,1
237,108,0,18.33,1,1
238,108,0,18.33,1,1
239,108,0,18.33,1,1
240,108,0,18.33,1,1
241,108,0,18.33,1,1
242,108,0,18.33,1,1
243,108,0,18.33,1,1
244,108,0,18.33,1,1
245,108,0,18.33,1,1
246,108,0,18.33,1,1
247,108,0,18.33,1,1
248,108,0,18.33,1,1
249,108,0,18.33,1,1
250,108,0,18.33,1,1
251,108,0,18.33,1,1
252,108,0,18.33,1,1
253,108,0,18.33,1,1
254,108,0,18.33,1,1
255,108,0,18.33,1,1
256,108,0,18.33,1,1
257,108,0,18.33,1,1
258,108,0,18.33,1,1
259,108,0,18.33,1,1
260,108,0,18.33,1,1
261,108,0,18.33,1,1
262,108,0,18.33,1,1
263,108,0,18.33,1,1
264,108,0,18.33,1,1
265,108,0,17.5,1,1
266,108,0,17.5,1,1
267,108,0,17.5,1,1
268,108,0,17.5,1,1
269,108,0,17.5,1,1
270,108,0,17.5,1,1
271,108,0,17.5,1,1
272,108,0,17.5,1,1
273,108,0,17.5,1,1
274,108,0,17.5,1,1
275,108,0,17.5,1,1
276,108,0,17.5,1,1
277,108,0,17.5,1,1
278,108,0,17.5,1,1
279,108,0,17.5,1,1
280,108,0,17.5,1,1
281,108,0,17.5,1,1
282,108,0,17.5,1,1
283,108,0,17.5,1,1
284,108,0,17.5,1,1
285,291,0,17.5,1,1
286,111,0,17.5,1,1
287,131,0,16.67,1,1
288,123,0,17.5,1,1
289,137,0,16.67,1,1
290,140,0,16.67,1,1
291,140,0,17.5,1,1
292,140,0,17.5,1,1
293,146,0,17.5,1,1
294,111,0,16.67,1,1
295,290,0,16.67,1,1
296,131,0,16.67,1,1
297,112,0,16.67,1,1
298,170,0,17.5,1,1
299,143,0,17.5,1,1
300,121,0,17.5,1,1
301,111,0,17.5,1,1
302,159,0,16.67,1,1
303,152,0,17.5,1,1
304,146,0,16.67,1,1
305,143,0,17.5,1,1
306,132,0,17.5,1,1
307,111,0,17.5,1,1
308,153,0,17.5,1,1
309,139,0,17.5,1,1
310,100,0,17.5,1,1
311,138,0,17.5,1,1
312,150,0,17.5,1,1
313,104,0,17.5,1,1
314,125,0,17.5,1,1
315,126,0,17.5,1,1
316,144,0,17.5,1,1
317,113,0,17.5,1,1
318,100,0,17.5,1,1
319,155,0,17.5,1,1
320,128,0,17.5,1,1
321,122,0,18.33,1,1
322,176,0,17.5,1,1
323,148,0,17.5,1,1
324,97,0,17.5,1,1
325,113,0,17.5,1,1
326,126,0,17.5,1,1
327,292,0,17.5,1,1
328,120,0,17.5,1,1
329,108,0,17.5,1,1
330,98,0,17.5,1,1
331,222,0,17.5,1,1
332,101,0,17.5,1,1
333,137,0,17.5,1,1
334,149,0,17.5,1,1
335,195,0,17.5,1,1
336,112,0,17.5,1,1
337,139,0,17.5,1,1
338,140,0,17.5,1,1
339,121,0,17.5,1,1
340,193,0,17.5,1,1
341,116,0,17.5,1,1
342,209,0,17.5,1,1
343,129,0,17.5,1,1
344,135,0,17.5,1,1
345,128,0,17.5,1,1
346,128,0,18.33,1,1
347,113,0,17.5,1,1
