second,distance,motion,lightIntensity,occupied,occupied_ml
223,2378.00,0,2.50,1,0
224,2380.00,0,2.50,1,0
225,2378.00,0,2.50,1,0
226,2373.00,0,2.50,1,0
227,2364.00,0,2.50,1,0
228,2375.00,0,2.50,1,0
229,2372.00,0,2.50,1,0
230,2381.00,0,2.50,1,0
231,2381.00,0,2.50,1,0
232,2369.00,0,2.50,1,0
233,2381.00,0,2.50,1,0
234,2370.00,0,2.50,1,0
236,2365.00,0,2.50,1,0
237,2367.00,0,2.50,1,0
238,2381.00,0,2.50,1,0
239,2380.00,0,2.50,1,0
240,2374.00,0,2.50,1,0
241,2374.00,0,2.50,1,0
242,2380.00,0,2.50,1,0
243,2375.00,0,2.50,1,0
244,2378.00,0,2.50,1,0
245,2363.00,0,2.50,1,0
246,2369.00,0,2.50,1,0
247,2372.00,0,2.50,1,0
248,2380.00,0,2.50,1,0
249,2379.00,0,2.50,1,0
250,2377.00,0,2.50,1,0
251,2378.00,0,2.50,1,0
252,2376.00,0,2.50,1,0
253,2371.00,0,2.50,1,0
254,2377.00,0,2.50,1,0
255,2377.00,0,2.50,1,0
256,2379.00,0,2.50,1,0
257,2381.00,0,2.50,1,0
258,2379.00,0,2.50,1,0
259,2382.00,0,2.50,1,0
260,2382.00,0,2.50,1,0
261,2379.00,0,2.50,1,0
262,2374.00,0,2.50,1,0
263,2367.00,0,2.50,1,0
264,2367.00,0,2.50,1,0
265,2374.00,0,2.50,1,0
266,2380.00,0,2.50,1,0
267,2377.00,0,2.50,1,0
268,2380.00,0,2.50,1,0
270,2380.00,0,2.50,1,0
271,2379.00,0,2.50,1,0
272,2369.00,0,2.50,1,0
273,2382.00,0,2.50,1,0
274,2381.00,0,2.50,1,0
275,2381.00,0,2.50,1,0
276,2379.00,0,2.50,1,0
277,2378.00,1,2.50,1,0
278,2378.00,0,2.50,1,0
279,2377.00,0,2.50,1,0
280,2372.00,0,2.50,1,0
281,2378.00,0,2.50,1,0
282,2380.00,0,2.50,1,0
283,2379.00,0,2.50,1,0
284,2376.00,0,2.50,1,0
285,2378.00,0,2.50,1,0
286,2371.00,0,2.50,1,0
287,2368.00,0,2.50,1,0
288,2376.00,0,2.50,1,0
289,2381.00,0,2.50,1,0
290,2375.00,0,2.50,1,0
291,2378.00,0,2.50,1,0
292,2379.00,0,2.50,1,0
293,2373.00,0,2.50,1,0
294,2380.00,0,2.50,1,0
295,2380.00,0,2.50,1,0
296,2381.00,0,2.50,1,0
297,2381.00,0,2.50,1,0
298,2376.00,0,2.50,1,0
299,2380.00,0,2.50,1,0
300,2375.00,0,2.50,1,0
301,2377.00,0,2.50,1,0
302,2381.00,0,2.50,1,0
304,2372.00,0,2.50,1,0
305,2365.00,0,2.50,1,0
306,2365.00,0,2.50,1,0
307,2367.00,0,2.50,1,0
308,2371.00,0,2.50,1,0
309,2373.00,0,2.50,1,0
310,2379.00,0,2.50,1,0
311,2380.00,0,2.50,1,0
312,2376.00,0,2.50,1,0
313,2380.00,0,2.50,1,0
314,2375.00,0,2.50,1,0
315,2380.00,0,2.50,1,0
316,2377.00,0,2.50,1,0
317,2379.00,0,2.50,1,0
318,2371.00,0,2.50,1,0
319,2372.00,1,2.50,1,0
320,2376.00,0,2.50,1,0
321,2380.00,0,2.50,1,0
322,2379.00,0,2.50,1,0
323,2380.00,0,2.50,1,0
324,2378.00,0,2.50,1,0
325,2380.00,0,2.50,1,0
326,2380.00,0,2.50,1,0
327,2371.00,0,2.50,1,0
328,2365.00,0,2.50,1,0
329,2366.00,0,2.50,1,0
330,2367.00,0,2.50,1,0
331,2366.00,0,2.50,1,0
332,2365.00,0,2.50,1,0
333,2364.00,0,2.50,1,0
334,2367.00,0,2.50,1,0
336,2368.00,0,2.50,1,0
337,2367.00,0,2.50,1,0
338,2369.00,0,2.50,1,0
339,2367.00,0,2.50,1,0
340,2369.00,1,2.50,1,0
341,2369.00,0,2.50,1,0
342,2373.00,0,2.50,1,0
343,2379.00,0,2.50,1,0
344,2380.00,0,2.50,1,0
345,2381.00,0,2.50,1,0
346,2381.00,0,2.50,1,0
347,2380.00,0,2.50,1,0
348,2379.00,0,2.50,1,0
349,2377.00,0,2.50,1,0
350,2379.00,0,2.50,1,0
351,2374.00,0,2.50,1,0
352,2374.00,0,2.50,1,0
353,2367.00,0,2.50,1,0
354,2370.00,0,2.50,1,0
355,2370.00,0,2.50,1,0
356,2380.00,0,2.50,1,0
357,2380.00,0,2.50,1,0
358,2377.00,0,2.50,1,0
359,2372.00,0,2.50,1,0
360,2371.00,0,2.50,1,0
361,2372.00,0,2.50,1,0
362,2375.00,0,2.50,1,0
363,2380.00,0,2.50,1,0
364,2381.00,0,2.50,1,0
365,2377.00,0,2.50,1,0
366,2380.00,0,2.50,1,0
367,2380.00,0,2.50,1,0
368,2371.00,0,2.50,1,0
370,2370.00,0,2.50,1,0
371,2376.00,0,2.50,1,0
372,2377.00,0,2.50,1,0
373,2375.00,0,2.50,1,0
374,2380.00,0,2.50,1,0
375,2380.00,0,2.50,1,0
376,2378.00,0,2.50,1,0
377,2377.00,0,2.50,1,0
378,2369.00,0,2.50,1,0
379,2370.00,0,2.50,1,0
380,2371.00,0,2.50,1,0
381,2374.00,0,2.50,1,0
382,2376.00,0,2.50,1,0
383,2378.00,0,2.50,1,0
384,2379.00,0,2.50,1,0
385,2373.00,0,2.50,1,0
386,2378.00,0,2.50,1,0
387,2373.00,0,2.50,1,0
388,2380.00,0,2.50,1,0
389,2367.00,0,2.50,1,0
390,2367.00,0,2.50,1,0
391,2366.00,0,2.50,1,0
392,2367.00,0,2.50,1,0
393,2368.00,0,2.50,1,0
394,2365.00,0,2.50,1,0
395,2367.00,0,2.50,1,0
396,2365.00,0,2.50,1,0
397,2364.00,0,2.50,1,0
398,2364.00,0,2.50,1,0
399,2364.00,0,2.50,1,0
400,2364.00,0,2.50,1,0
401,2364.00,0,2.50,1,0
402,2364.00,0,2.50,1,0
403,2364.00,0,2.50,1,0
404,2366.00,0,2.50,1,0
405,2368.00,0,2.50,1,0
407,2369.00,0,2.50,1,0
408,2373.00,0,2.50,1,0
409,2376.00,0,2.50,1,0
410,2375.00,0,2.50,1,0
411,2373.00,0,2.50,1,0
412,2373.00,0,2.50,1,0
413,2375.00,0,2.50,1,0
414,2374.00,0,2.50,1,0
415,2375.00,0,2.50,1,0
416,2376.00,0,2.50,1,0
417,2377.00,0,2.50,1,0
418,2376.00,0,2.50,1,0
419,2378.00,0,2.50,1,0
420,2373.00,0,2.50,1,0
421,2375.00,0,2.50,1,0
422,2377.00,0,2.50,1,0
423,2375.00,0,2.50,1,0
424,2373.00,0,2.50,1,0
425,2374.00,0,2.50,1,0
426,2373.00,0,2.50,1,0
427,2370.00,0,2.50,1,0
428,2372.00,0,2.50,1,0
429,2378.00,0,2.50,1,0
430,2373.00,0,2.50,1,0
431,2375.00,0,2.50,1,0
432,2377.00,0,2.50,1,0
433,2378.00,0,2.50,1,0
434,2376.00,0,2.50,1,0
435,2377.00,0,2.50,1,0
436,2378.00,0,2.50,1,0
437,2376.00,0,2.50,1,0
438,2373.00,0,2.50,1,0
439,2374.00,0,2.50,1,0
440,2378.00,0,2.50,1,0
441,2376.00,0,2.50,1,0
442,2373.00,0,2.50,1,0
443,2376.00,0,2.50,1,0
444,2375.00,0,2.50,1,0
446,2373.00,0,2.50,1,0
447,2372.00,0,2.50,1,0
448,2371.00,0,2.50,1,0
449,2370.00,0,2.50,1,0
450,2369.00,0,2.50,1,0
451,2376.00,0,2.50,1,0
452,2376.00,0,2.50,1,0
453,2377.00,0,2.50,1,0
454,2374.00,0,2.50,1,0
455,2371.00,0,2.50,1,0
456,2371.00,0,2.50,1,0
457,2373.00,0,2.50,1,0
458,2371.00,0,2.50,1,0
459,2369.00,0,2.50,1,0
460,2372.00,0,2.50,1,0
461,2379.00,0,2.50,1,0
462,2374.00,1,2.50,1,0
463,2372.00,0,2.50,1,0
464,2372.00,0,2.50,1,0
465,2375.00,0,2.50,1,0
466,2370.00,0,2.50,1,0
467,2378.00,0,2.50,1,0
468,2376.00,0,2.50,1,0
469,2380.00,0,2.50,1,0
470,2379.00,0,2.50,1,0
471,2377.00,0,2.50,1,0
472,2373.00,0,2.50,1,0
473,2377.00,0,2.50,1,0
474,2379.00,0,2.50,1,0
475,2374.00,0,2.50,1,0
476,2377.00,0,2.50,1,0
477,2372.00,0,2.50,1,0
478,2376.00,0,2.50,1,0
479,2379.00,0,2.50,1,0
480,2379.00,1,2.50,1,0
481,2371.00,1,2.50,1,0
482,2373.00,0,2.50,1,0
483,2377.00,0,2.50,1,0
484,2379.00,0,2.50,1,0
485,2378.00,0,2.50,1,0
487,2380.00,0,2.50,1,0
488,2379.00,0,2.50,1,0
489,2379.00,0,2.50,1,0
490,2380.00,0,2.50,1,0
491,2379.00,0,2.50,1,0
492,2379.00,0,2.50,1,0
493,2379.00,0,2.50,1,0
494,2378.00,0,2.50,1,0
495,2378.00,0,2.50,1,0
496,2375.00,0,2.50,1,0
497,2378.00,0,2.50,1,0
498,2372.00,0,2.50,1,0
499,2376.00,0,2.50,1,0
500,2374.00,0,2.50,1,0
501,2376.00,0,2.50,1,0
502,2371.00,0,2.50,1,0
503,2371.00,0,2.50,1,0
504,2370.00,0,2.50,1,0
505,2369.00,0,2.50,1,0
506,2368.00,0,2.50,1,0
507,2369.00,0,2.50,1,0
508,2369.00,0,2.50,1,0
509,2368.00,0,2.50,1,0
510,2367.00,0,2.50,1,0
511,2368.00,0,2.50,1,0
512,2367.00,0,2.50,1,0
513,2370.00,0,2.50,1,0
514,2374.00,0,2.50,1,0
515,2378.00,0,2.50,1,0
516,2377.00,0,2.50,1,0
517,2376.00,0,2.50,1,0
518,2379.00,0,2.50,1,0
519,2379.00,0,2.50,1,0
520,2374.00,0,2.50,1,0
521,2379.00,0,2.50,1,0
522,2380.00,0,2.50,1,0
523,2378.00,0,2.50,1,0
524,2379.00,0,2.50,1,0
525,2379.00,0,2.50,1,0
526,2380.00,0,2.50,1,0
528,2379.00,0,2.50,1,0
529,2379.00,0,2.50,1,0
530,2380.00,0,2.50,1,0
531,2379.00,0,2.50,1,0
532,2371.00,0,2.50,1,0
533,2370.00,0,2.50,1,0
534,2375.00,0,2.50,1,0
535,2379.00,0,2.50,1,0
536,2380.00,0,2.50,1,0
537,2380.00,0,2.50,1,0
538,2376.00,0,2.50,1,0
539,2376.00,0,2.50,1,0
540,2379.00,0,2.50,1,0
541,2373.00,0,2.50,1,0
542,2380.00,0,2.50,1,0
543,2379.00,0,2.50,1,0
544,2379.00,0,2.50,1,0
545,2374.00,0,2.50,1,0
546,2380.00,0,2.50,1,0
547,2374.00,0,2.50,1,0
548,2380.00,0,2.50,1,0
549,2380.00,0,2.50,1,0
550,2373.00,0,2.50,1,0
551,2371.00,0,2.50,1,0
552,2375.00,0,2.50,1,0
553,2369.00,0,2.50,1,0
554,2370.00,0,2.50,1,0
555,2380.00,0,2.50,1,0
556,2380.00,0,2.50,1,0
557,2379.00,0,2.50,1,0
558,2373.00,0,2.50,1,0
559,2371.00,0,2.50,1,0
560,2376.00,0,2.50,1,0
561,2378.00,0,2.50,1,0
562,2374.00,0,2.50,1,0
