second,distance,motion,lightIntensity,occupied
228,146.0,0,7.5,0
229,94.0,0,7.5,1
230,92.0,0,7.5,1
231,91.0,0,7.5,1
232,90.0,0,7.5,1
233,98.0,0,7.5,0
234,93.0,0,7.5,0
235,114.0,0,7.5,0
236,126.0,0,7.5,0
237,94.0,0,7.5,0
238,83.0,0,7.5,0
239,104.0,0,7.5,0
240,103.0,0,7.5,0
241,76.0,0,7.5,0
242,88.0,0,7.5,0
243,175.0,0,7.5,1
244,93.0,0,7.5,1
245,90.0,0,7.5,1
246,113.0,0,7.5,1
247,186.0,0,7.5,1
248,91.0,0,7.5,1
249,166.0,0,7.5,1
250,99.0,0,7.5,0
251,96.0,0,7.5,0
252,73.0,0,7.5,0
253,86.0,0,7.5,0
254,89.0,0,7.5,1
255,106.0,0,7.5,1
256,143.0,0,7.5,0
257,105.0,0,7.5,1
258,94.0,0,7.5,0
259,113.0,0,7.5,0
260,157.0,0,7.5,0
261,120.0,0,7.5,0
262,98.0,0,7.5,0
263,99.0,0,7.5,0
264,90.0,0,7.5,0
265,168.0,0,7.5,0
266,87.0,0,7.5,0
267,115.0,0,7.5,0
268,99.0,0,7.5,0
269,95.0,0,7.5,0
270,114.0,0,7.5,0
271,88.0,0,7.5,0
272,93.0,0,7.5,0
273,105.0,0,7.5,0
274,134.0,0,7.5,0
275,89.0,0,7.5,0
276,89.0,0,7.5,0
277,80.0,0,7.5,0
278,95.0,0,7.5,0
279,88.0,0,7.5,1
280,103.0,0,7.5,0
281,207.0,0,7.5,1
282,118.0,0,7.5,0
283,104.0,0,7.5,1
284,109.0,0,7.5,1
285,141.0,0,7.5,0
286,86.0,0,7.5,0
287,104.0,0,7.5,0
288,110.0,0,7.5,0
289,154.0,0,7.5,0
290,95.0,0,7.5,0
291,95.0,0,7.5,0
292,79.0,0,7.5,0
293,103.0,0,7.5,0
294,120.0,0,7.5,1
295,91.0,0,7.5,1
296,128.0,0,7.5,0
297,98.0,0,7.5,0
298,173.0,0,7.5,0
299,87.0,0,7.5,0
300,98.0,0,7.5,0
301,82.0,0,7.5,0
302,82.0,0,7.5,0
303,87.0,0,7.5,0
304,94.0,0,7.5,0
305,85.0,0,7.5,0
306,88.0,0,7.5,0
307,84.0,0,7.5,0
308,142.0,0,7.5,0
309,130.0,0,7.5,0
310,101.0,0,7.5,0
311,155.0,0,7.5,0
312,106.0,0,7.5,0
313,105.0,0,7.5,1
314,107.0,0,7.5,1
315,126.0,0,7.5,0
316,147.0,0,7.5,0
317,113.0,0,7.5,0
318,206.0,0,7.5,0
319,104.0,0,7.5,0
320,100.0,0,7.5,0
321,103.0,0,7.5,0
322,92.0,0,7.5,0
323,98.0,0,7.5,1
324,151.0,0,7.5,1
325,119.0,0,7.5,1
326,98.0,0,7.5,0
327,91.0,0,7.5,0
328,115.0,0,7.5,0
329,90.0,0,7.5,0
330,147.0,0,7.5,0
331,98.0,0,7.5,0
332,130.0,0,7.5,0
333,92.0,0,7.5,0
334,172.0,0,7.5,1
335,122.0,0,7.5,0
336,82.0,0,7.5,0
337,104.0,0,7.5,0
338,119.0,0,7.5,0
339,122.0,0,7.5,0
340,102.0,0,7.5,1
341,105.0,0,7.5,1
342,82.0,0,7.5,0
343,139.0,0,7.5,0
344,189.0,0,7.5,0
345,89.0,0,7.5,0
346,94.0,0,7.5,1
347,84.0,0,7.5,0
348,88.0,0,7.5,0
349,105.0,0,7.5,0
350,88.0,0,7.5,1
351,90.0,0,7.5,1
352,140.0,0,7.5,1
353,95.0,0,7.5,0
354,79.0,0,7.5,0
355,97.0,0,7.5,0
356,155.0,0,7.5,0
357,96.0,0,7.5,0
358,118.0,0,7.5,0
